,fight,winner,odds_w,loser,odds_l
1496,Tim Means vs Sabah Homasi,Tim-Means,1.26,Sabah-Homasi,4.4
1497,Cody Garbrandt vs Takeya Mizugaki,Cody-Garbrandt,1.24,Takeya-Mizugaki,5.2
1498,Raquel Pennington vs Elizabeth Phillips,Raquel-Pennington,1.4,Elizabeth-Phillips,3.3
1499,Artem Lobov vs Chris Avila,Artem-Lobov,1.87,Chris-Avila,2.07
1500,Randa Markos vs Cortney Casey,Cortney-Casey,2.3,Randa-Markos,1.77
1501,Neil Magny vs Lorenz Larkin,Lorenz-Larkin,2.2,Neil-Magny,1.91
1502,Colby Covington vs Max Griffin,Colby-Covington,1.33,Max-Griffin,3.95
1503,Alberto Emiliano Pereira vs Marvin Vettori,Marvin-Vettori,1.63,Alberto-Emiliano-Pereira,2.5
1504,Yair Rodriguez vs Alex Caceres,Yair-Rodriguez,1.38,Alex-Caceres,3.45
1505,Dennis Bermudez vs Rony Jason,Dennis-Bermudez,1.44,Rony-Jason,3.15
1506,Thales Leites vs Chris Camozzi,Thales-Leites,1.61,Chris-Camozzi,2.55
1507,Zak Cummings vs Santiago Ponzinibbio,Santiago-Ponzinibbio,1.89,Zak-Cummings,2.1
1508,Trevor Smith vs Joseph Gigliotti,Trevor-Smith,2.2,Joseph-Gigliotti,1.85
1509,Maryna Moroz vs Danielle Taylor,Maryna-Moroz,1.4,Danielle-Taylor,3.36
1510,Court McGee vs Dominique Steele,Court-McGee,1.52,Dominique-Steele,2.9
1511,Marcin Tybura vs Viktor Pesta,Marcin-Tybura,1.74,Viktor-Pesta,2.25
1512,David Teymur vs Jason Novelli,David-Teymur,1.69,Jason-Novelli,2.45
1513,Teruto Ishihara vs Horacio Gutierrez,Teruto-Ishihara,1.46,Horacio-Gutierrez,3.0
1514,Cub Swanson vs Tatsuya Kawajiri,Cub-Swanson,1.33,Tatsuya-Kawajiri,3.7
1515,Justin Ledet vs Chase Sherman,Justin-Ledet,1.83,Chase-Sherman,2.2
1516,Robbie Lawler vs Tyron Woodley,Tyron-Woodley,2.2,Robbie-Lawler,1.85
1517,Rose Namajunas vs Karolina Kowalkiewicz,Karolina-Kowalkiewicz,2.72,Rose-Namajunas,1.54
1518,Matt Brown vs Jake Ellenberger,Jake-Ellenberger,3.63,Matt-Brown,1.38
1519,Erik Perez vs Francisco Rivera,Erik-Perez,1.69,Francisco-Rivera,2.35
1520,Ryan Benoit vs Freddy Serrano,Ryan-Benoit,2.0,Freddy-Serrano,1.94
1521,Nikita Krylov vs Ed Herman,Nikita-Krylov,1.48,Ed-Herman,3.06
1522,Ross Pearson vs Jorge Masvidal,Jorge-Masvidal,1.4,Ross-Pearson,3.31
1523,Damian Grabowski vs Anthony Hamilton,Anthony-Hamilton,1.8,Damian-Grabowski,2.2
1524,Hector Sandoval vs Wilson Reis,Wilson-Reis,1.33,Hector-Sandoval,4.1
1525,Damien Brown vs Cesar Arzamendia,Damien-Brown,1.91,Cesar-Arzamendia,2.05
1526,Holly Holm vs Valentina Shevchenko,Valentina-Shevchenko,3.25,Holly-Holm,1.5
