,TEAM,COUNTRY,WT CLASS
michael-mcdonald,Last Stand Fight Team,USA,Bantamweight
jose-aldo,Nova Uniao,Brazil,Featherweight
benson-henderson,MMA LAB,USA,Welterweight
ivan-menjivar,TriStar Gym,EL SALVADOR,Lightweight
charlie-valencia,,USA,Bantamweight
yves-jabouin,TriStar Gym,Canada,Bantamweight
renan-barao,Nova Uniao,Brazil,Bantamweight
cole-escovedo,,USA,Featherweight
tony-ferguson,Reign MMA,USA,Lightweight
ramsey-nijem,Temple MMA,USA,Lightweight
anthony-pettis,Roufusport,USA,Welterweight
chris-cope,,USA,
chuck-oneil,,USA,
danny-downes,,USA,Lightweight
shamar-bailey,Integrated Fighting Academy,USA,Lightweight
ryan-mcgillivray,Jackson-Wink MMA,Canada,Welterweight
clay-harvison,American Top Team Atlanta,USA,Welterweight
justin-edwards,Team Jorge Gurgel,USA,Welterweight
scott-jorgensen,Twisted Genetiks,USA,Bantamweight
ken-stone,American Top Team,USA,Bantamweight
francisco-rivera,United Mixed Martial Arts,USA,Bantamweight
dave-herman,,,
john-olav-einemo,,Norway,Heavyweight
vagner-rocha,,USA,Welterweight
james-head,Lovato's Brazilian Jiu-Jitsu,USA,Middleweight
jason-young,Team Titan,England,Featherweight
aaron-rosa,Rodrigo Pinheiro BJJ,USA,Light Heavyweight
javier-vazquez,Gracie Jiu-Jitsu,USA,Featherweight
ricardo-lamas,Top Notch Fitness,USA,Featherweight
edward-faaloloto,,USA,Lightweight
dominick-cruz,Alliance MMA,USA,Bantamweight
jeff-hougland,Combat Sport and Fitness,USA,Bantamweight
donny-walker,,USA,
paul-bradley,,,
ronny-markes,Nova Uniao,Brazil,Middleweight
jimy-hettes,Gracie NEPA,USA,Featherweight
erick-silva,Team Nogueira,Brazil,Welterweight
luis-ramos,Nova Uniao,Brazil,
stanislav-nedkov,Bushido Bulgaria,Bulgaria,Light Heavyweight
johnny-eduardo,Nova Uniao,Brazil,Bantamweight
iuri-alcantara,Marajo Brothers Team,Brazil,Bantamweight
felipe-arantes,Bronx's Gold Team,Brazil,
lance-benoist,St. Charles MMA,USA,Welterweight
mike-stumpf,Team Curran,USA,Welterweight
robert-peralta,Team Xplode MMA,USA,
jorge-lopez,Wand Fight Team,USA,
eddie-yagin,Alliance MMA,USA,Featherweight
byron-bloodworth,Iron Clutch Fitness,USA,Bantamweight
mike-easton,Alliance MMA,USA,Bantamweight
keith-wisniewski,,,
joseph-sandoval,,,
walel-watson,Team Hurricane Awesome,USA,Bantamweight
stipe-miocic,Strong Style Fight Team,USA,Heavyweight
jeff-curran,Team Curran,USA,
hatsu-hioki,ALIVE Shooto & Jiu-Jitsu Academy,Japan,Featherweight
bart-palaszewski,,USA,Featherweight
francis-carmont,TriStar Gym,France,Middleweight
dustin-jacoby,Finney's HIT Squad,USA,Middleweight
clifford-starks,Arizona Combat Sports,USA,Middleweight
brad-pickett,Team Titan,England,Bantamweight
papy-abedi,Allstars Training Center,Sweden,Middleweight
john-maguire,Tsunami Gym,England,Lightweight
phil-de-fries,Alliance MMA,England,Heavyweight
che-mills,Trojan Free Fighters,England,Welterweight
vaughan-lee,Ultimate Training Centre,England,Bantamweight
cub-swanson,Jackson-Wink MMA,USA,Featherweight
darren-uyenoyama,Faito Tamashii Combat Club,USA,Flyweight
matt-lucas,Arizona Combat Sports,USA,Light Heavyweight
cung-le,Cung Le's Universal Strength Headquarters,Vietnam,Middleweight
alex-soto,Team Hurricane Awesome,USA,
jason-miller,Reign MMA,USA,Middleweight
dennis-bermudez,Long Island MMA,USA,Featherweight
diego-brandao,Jackson-Wink MMA,Brazil,Featherweight
tj-dillashaw,Treigning Lab,USA,Bantamweight
john-dodson,Jackson-Wink MMA,USA,Bantamweight
louis-gaudinot,Team Tiger Schulman,USA,Flyweight
johnny-bedford,,,
stephen-bass,,USA,
marcus-brimage,American Top Team,USA,Bantamweight
john-albert,Victory MMA,USA,Bantamweight
dustin-pague,Disciple MMA,USA,
roland-delorme,Winnipeg Academy of MMA,Canada,
josh-ferguson,,,
josh-clopton,Skrap Pack,USA,
steven-siler,FactoryX Muay Thai,USA,Featherweight
bryan-caraway,Xtreme Couture,USA,Bantamweight
dustin-neace,Damage Inc.,USA,Featherweight
jake-hecht,Fiore MMA,USA,
john-cholish,Renzo Gracie Jiu-Jitsu,USA,
mitch-clarke,Hayabusa Training Centre,Canada,Lightweight
alistair-overeem,Elevation Fight Team,Netherlands,Heavyweight
carlo-prater,Thugjitsu,Brazil,
ednaldo-oliveira,Champion Team,Brazil,Heavyweight
antonio-carvalho,Bruckmann MMA,Canada,
jared-papazian,,USA,Flyweight
khabib-nurmagomedov,AKA (American Kickboxing Academy),Russia,Lightweight
tommy-hayden,Team Jorge Gurgel,USA,Lightweight
daniel-pineda,4oz Fight Club,USA,Featherweight
pat-schilling,Ambition Training Academy,USA,Featherweight
nick-denis,Ronin MMA,Canada,Bantamweight
eric-wisely,Team Conquest,USA,
lavar-johnson,Pro Buhawe,USA,Heavyweight
max-holloway,Hawaii Elite MMA,USA,Featherweight
henry-martinez,Jackson-Wink MMA,USA,Lightweight
michael-kuiper,Perfect Team,Netherlands,Middleweight
stephen-thompson,Team Upstate Karate,USA,Welterweight
dan-stittgen,Midwest MMA,USA,
anton-kuivanen,American Top Team,Finland,Lightweight
justin-salas,Grudge Training Center,USA,
tim-means,Fit NHB,USA,Welterweight
bernardo-magalhaes,TP Fight Team,Australia,
eiji-mitsuoka,Freelance,Japan,
issei-tamura,Krazy Bee,Japan,Bantamweight
yasuhiro-urushitani,Wajutsu Keishukai Tokyo,Japan,Flyweight
ian-mccall,Team Oyama,USA,Flyweight
nick-penner,Hayabusa Training Centre,Canada,Light Heavyweight
andrew-craig,Team Tooke,USA,Middleweight
shawn-jordan,Jackson-Wink MMA,USA,Heavyweight
oli-thompson,ZT Fight Skool,England,
siyar-bahadurzada,Jackson-Wink MMA,Afghanistan,Welterweight
