,fight,loser,odds_l,odds_w,winner,FIGHTERS
13,Kamaru Usman vs Colby Covington,Colby-Covington,2.75,1.95,Kamaru-Usman,Colby-Covington vs. Kamaru-Usman
14,Max Holloway vs Alex Volkanovski,Max-Holloway,1.83,2.8,Alex-Volkanovski,Alex-Volkanovski vs. Max-Holloway
15,Amanda Nunes vs Germaine de Randamie,Germaine-de-Randamie,4.79,1.27,Amanda-Nunes,Amanda-Nunes vs. Germaine-de-Randamie
16,Jose Aldo vs Marlon Moraes,Jose-Aldo,2.6,1.62,Marlon-Moraes,Jose-Aldo vs. Marlon-Moraes
17,Petr Yan vs Urijah Faber,Urijah-Faber,5.8,1.24,Petr-Yan,Petr-Yan vs. Urijah-Faber
18,Geoff Neal vs Mike Perry,Mike-Perry,3.6,1.4,Geoff-Neal,Geoff-Neal vs. Mike-Perry
19,Irene Aldana vs Ketlen Vieira,Ketlen-Vieira,1.58,2.95,Irene-Aldana,Irene-Aldana vs. Ketlen-Vieira
20,Ian Heinisch vs Omari Akhmedov,Ian-Heinisch,1.94,2.1,Omari-Akhmedov,Ian-Heinisch vs. Omari-Akhmedov
21,Matt Brown vs Ben Saunders,Ben-Saunders,3.8,1.34,Matt-Brown,Ben-Saunders vs. Matt-Brown
22,Daniel Teymur vs Chase Hooper,Daniel-Teymur,2.5,1.71,Chase-Hooper,Chase-Hooper vs. Daniel-Teymur
23,Brandon Moreno vs Kai Kara-France,Kai-Kara-France,1.69,2.4,Brandon-Moreno,Brandon-Moreno vs. Kai-Kara-France
24,Jessica Eye vs Viviane Araujo,Viviane-Araujo,1.53,2.91,Jessica-Eye,Jessica-Eye vs. Viviane-Araujo
25,Punahele Soriano vs Oskar Piechota,Oskar-Piechota,2.05,2.0,Punahele-Soriano,Oskar-Piechota vs. Punahele-Soriano
26,Jan Blachowicz vs Ronaldo Souza,Ronaldo-Souza,2.45,1.74,Jan-Blachowicz,Jan-Blachowicz vs. Ronaldo-Souza
27,Charles Oliveira vs Jared Gordon,Jared-Gordon,4.7,1.26,Charles-Oliveira,Charles-Oliveira vs. Jared-Gordon
28,Antonio Arroyo vs Andre Muniz,Antonio-Arroyo,2.15,1.83,Andre-Muniz,Andre-Muniz vs. Antonio-Arroyo
29,Wellington Turman vs Markus Perez,Markus-Perez,2.31,1.94,Wellington-Turman,Markus-Perez vs. Wellington-Turman
30,Sergio Moraes vs James Krause,Sergio-Moraes,2.75,1.56,James-Krause,James-Krause vs. Sergio-Moraes
31,Ricardo Ramos vs Luiz Garagorri,Luiz-Garagorri,4.4,1.29,Ricardo-Ramos,Luiz-Garagorri vs. Ricardo-Ramos
32,Francisco Trinaldo vs Bobby Green,Bobby-Green,2.25,1.74,Francisco-Trinaldo,Bobby-Green vs. Francisco-Trinaldo
33,Warlley Alves vs Randy Brown,Warlley-Alves,1.8,2.2,Randy-Brown,Randy-Brown vs. Warlley-Alves
34,Douglas Silva de Andrade vs Renan Barao,Renan-Barao,3.25,1.45,Douglas-Silva-de-Andrade,Douglas-Silva-de-Andrade vs. Renan-Barao
35,Ariane Lipski vs Isabela de Padua,Isabela-de-Padua,0.0,0.0,Ariane-Lipski,Ariane-Lipski vs. Isabela-de-Padua
36,Tracy Cortez vs Vanessa Melo,Vanessa-Melo,3.05,1.48,Tracy-Cortez,Tracy-Cortez vs. Vanessa-Melo
37,Zabit Magomedsharipov vs Calvin Kattar,Calvin-Kattar,3.5,1.38,Zabit-Magomedsharipov,Calvin-Kattar vs. Zabit-Magomedsharipov
38,Greg Hardy vs Alexander Volkov,Greg-Hardy,3.85,1.36,Alexander-Volkov,Alexander-Volkov vs. Greg-Hardy
39,Danny Roberts vs Zelim Imadaev,Zelim-Imadaev,1.45,3.15,Danny-Roberts,Danny-Roberts vs. Zelim-Imadaev
40,Ed Herman vs Khadis Ibragimov,Khadis-Ibragimov,1.6,2.8,Ed-Herman,Ed-Herman vs. Khadis-Ibragimov
41,Tony Martin vs Ramazan Emeev,Ramazan-Emeev,1.8,2.15,Tony-Martin,Ramazan-Emeev vs. Tony-Martin
42,Klidson Farias de Abreu vs Shamil Gamzatov,Klidson-Farias-de-Abreu,2.4,1.8,Shamil-Gamzatov,Klidson-Farias-de-Abreu vs. Shamil-Gamzatov
43,Magomed Ankalaev vs Dalcha Lungiambula,Dalcha-Lungiambula,4.0,1.32,Magomed-Ankalaev,Dalcha-Lungiambula vs. Magomed-Ankalaev
44,Rustam Khabilov vs Sergey Khandozhko,Sergey-Khandozhko,3.3,1.45,Rustam-Khabilov,Rustam-Khabilov vs. Sergey-Khandozhko
45,Karl Roberson vs Roman Kopylov,Roman-Kopylov,1.89,2.1,Karl-Roberson,Karl-Roberson vs. Roman-Kopylov
46,Abubakar Nurmagomedov vs David Zawada,Abubakar-Nurmagomedov,1.38,3.55,David-Zawada,Abubakar-Nurmagomedov vs. David-Zawada
