,fight,loser,odds_l,odds_w,winner,FIGHTERS
924,Alan Patrick vs Damir Hadzovic,Damir-Hadzovic,3.15,1.46,Alan-Patrick,Alan-Patrick vs. Damir-Hadzovic
925,Maia Stevenson vs Polyana Viana,Maia-Stevenson,4.75,1.3,Polyana-Viana,Maia-Stevenson vs. Polyana-Viana
926,Yuri Alcantara vs Joe Soto,Joe-Soto,2.0,2.0,Yuri-Alcantara,Joe-Soto vs. Yuri-Alcantara
927,Deiveson Figueiredo vs Joseph Morales,Joseph-Morales,2.2,2.2,Deiveson-Figueiredo,Deiveson-Figueiredo vs. Joseph-Morales
928,Ronaldo Souza vs Derek Brunson,Derek-Brunson,2.25,2.2,Ronaldo-Souza,Derek-Brunson vs. Ronaldo-Souza
929,Andre Fili vs Dennis Bermudez,Dennis-Bermudez,1.67,2.55,Andre-Fili,Andre-Fili vs. Dennis-Bermudez
930,Gregor Gillespie vs Jordan Rinaldi,Jordan-Rinaldi,5.5,1.36,Gregor-Gillespie,Gregor-Gillespie vs. Jordan-Rinaldi
931,Drew Dober vs Frank Camacho,Frank-Camacho,2.5,1.67,Drew-Dober,Drew-Dober vs. Frank-Camacho
932,Bobby Green vs Erik Koch,Erik-Koch,2.62,1.62,Bobby-Green,Bobby-Green vs. Erik-Koch
933,Godofredo Pepey vs Mirsad Bektic,Godofredo-Pepey,5.65,1.21,Mirsad-Bektic,Godofredo-Pepey vs. Mirsad-Bektic
934,Mara Romero Borella vs Katlyn Chookagian,Mara-Romero-Borella,2.75,1.65,Katlyn-Chookagian,Katlyn-Chookagian vs. Mara-Romero-Borella
935,Randa Markos vs Juliana Lima,Juliana-Lima,2.4,1.68,Randa-Markos,Juliana-Lima vs. Randa-Markos
936,Ji Yeon Kim vs Justine Kish,Justine-Kish,1.65,3.4,Ji-Yeon-Kim,Ji-Yeon-Kim vs. Justine-Kish
937,Vinc Pichel vs Joaquim Silva,Joaquim-Silva,1.91,2.18,Vinc-Pichel,Joaquim-Silva vs. Vinc-Pichel
938,Niko Price vs George Sullivan,George-Sullivan,4.14,1.39,Niko-Price,George-Sullivan vs. Niko-Price
939,Cory Sandhagen vs Austin Arnett,Austin-Arnett,2.87,2.2,Cory-Sandhagen,Austin-Arnett vs. Cory-Sandhagen
940,Stipe Miocic vs Francis Ngannou,Francis-Ngannou,1.61,2.65,Stipe-Miocic,Francis-Ngannou vs. Stipe-Miocic
941,Daniel Cormier vs Volkan Oezdemir,Volkan-Oezdemir,4.0,1.33,Daniel-Cormier,Daniel-Cormier vs. Volkan-Oezdemir
942,Calvin Kattar vs Shane Burgos,Shane-Burgos,1.67,2.69,Calvin-Kattar,Calvin-Kattar vs. Shane-Burgos
943,Gian Villante vs Francimar Barroso,Francimar-Barroso,2.55,1.62,Gian-Villante,Francimar-Barroso vs. Gian-Villante
944,Thomas Almeida vs Rob Font,Thomas-Almeida,1.9,2.0,Rob-Font,Rob-Font vs. Thomas-Almeida
945,Kyle Bochniak vs Brandon Davis,Brandon-Davis,1.87,2.1,Kyle-Bochniak,Brandon-Davis vs. Kyle-Bochniak
946,Abdul Razak Alhassan vs Sabah Homasi,Sabah-Homasi,2.8,1.52,Abdul-Razak-Alhassan,Abdul-Razak-Alhassan vs. Sabah-Homasi
947,Dustin Ortiz vs Alexandre Pantoja,Alexandre-Pantoja,1.74,2.45,Dustin-Ortiz,Alexandre-Pantoja vs. Dustin-Ortiz
948,Dan Ige vs Julio Arce,Dan-Ige,2.33,1.71,Julio-Arce,Dan-Ige vs. Julio-Arce
949,Enrique Barzola vs Matt Bessette,Matt-Bessette,3.01,1.48,Enrique-Barzola,Enrique-Barzola vs. Matt-Bessette
950,Gleison Tibau vs Islam Makhachev,Gleison-Tibau,3.16,1.48,Islam-Makhachev,Gleison-Tibau vs. Islam-Makhachev
951,Doo Ho Choi vs Jeremy Stephens,Doo-Ho-Choi,1.67,2.5,Jeremy-Stephens,Doo-Ho-Choi vs. Jeremy-Stephens
952,Michael Johnson vs Darren Elkins,Michael-Johnson,1.65,2.75,Darren-Elkins,Darren-Elkins vs. Michael-Johnson
953,Kamaru Usman vs Emil Meek,Emil-Meek,6.7,1.17,Kamaru-Usman,Emil-Meek vs. Kamaru-Usman
954,James Krause vs Alex White,Alex-White,2.61,1.62,James-Krause,Alex-White vs. James-Krause
955,Paige VanZant vs Jessica-Rose Clark,Paige-VanZant,2.0,2.03,Jessica-Rose-Clark,Jessica-Rose-Clark vs. Paige-VanZant
956,Kalindra Faria vs Jessica Eye,Kalindra-Faria,2.18,1.84,Jessica-Eye,Jessica-Eye vs. Kalindra-Faria
957,Irene Aldana vs Talita Bernardo,Talita-Bernardo,3.0,1.76,Irene-Aldana,Irene-Aldana vs. Talita-Bernardo
958,Marco Polo Reyes vs Matt Frevola,Matt-Frevola,1.5,2.9,Marco-Polo-Reyes,Marco-Polo-Reyes vs. Matt-Frevola
959,Kyung Ho Kang vs Guido Cannetti,Guido-Cannetti,3.85,1.36,Kyung-Ho-Kang,Guido-Cannetti vs. Kyung-Ho-Kang
960,Danielle Taylor vs J.J. Aldrich,Danielle-Taylor,2.1,1.91,J.J.-Aldrich,Danielle-Taylor vs. J.J.-Aldrich
961,Mike Santiago vs Mads Burnell,Mike-Santiago,1.56,2.75,Mads-Burnell,Mads-Burnell vs. Mike-Santiago
962,Cristiane Justino vs Holly Holm,Holly-Holm,3.75,1.43,Cristiane-Justino,Cristiane-Justino vs. Holly-Holm
963,Edson Barboza vs Khabib Nurmagomedov,Edson-Barboza,4.4,1.35,Khabib-Nurmagomedov,Edson-Barboza vs. Khabib-Nurmagomedov
964,Marc Diakiese vs Daniel Hooker,Marc-Diakiese,1.57,2.69,Daniel-Hooker,Daniel-Hooker vs. Marc-Diakiese
965,Cynthia Calvillo vs Carla Esparza,Cynthia-Calvillo,1.5,3.45,Carla-Esparza,Carla-Esparza vs. Cynthia-Calvillo
966,Carlos Condit vs Neil Magny,Carlos-Condit,1.78,2.55,Neil-Magny,Carlos-Condit vs. Neil-Magny
967,Michal Oleksiejczuk vs Khalil Rountree,Khalil-Rountree,1.33,4.2,Michal-Oleksiejczuk,Khalil-Rountree vs. Michal-Oleksiejczuk
968,Myles Jury vs Rick Glenn,Rick-Glenn,3.1,1.5,Myles-Jury,Myles-Jury vs. Rick-Glenn
969,Louis Smolka vs Matheus Nicolau,Louis-Smolka,3.55,1.48,Matheus-Nicolau,Louis-Smolka vs. Matheus-Nicolau
970,Tim Elliott vs Mark Delarosa,Mark-Delarosa,2.8,1.54,Tim-Elliott,Mark-Delarosa vs. Tim-Elliott
971,Robbie Lawler vs Rafael dos Anjos,Robbie-Lawler,2.1,1.91,Rafael-dos-Anjos,Rafael-dos-Anjos vs. Robbie-Lawler
972,Josh Emmett vs Ricardo Lamas,Ricardo-Lamas,1.4,3.45,Josh-Emmett,Josh-Emmett vs. Ricardo-Lamas
973,Santiago Ponzinibbio vs Mike Perry,Mike-Perry,2.6,1.69,Santiago-Ponzinibbio,Mike-Perry vs. Santiago-Ponzinibbio
974,Glover Teixeira vs Misha Cirkunov,Misha-Cirkunov,1.62,2.55,Glover-Teixeira,Glover-Teixeira vs. Misha-Cirkunov
975,Jan Blachowicz vs Jared Cannonier,Jared-Cannonier,1.56,2.69,Jan-Blachowicz,Jan-Blachowicz vs. Jared-Cannonier
976,Darren Stewart vs Julian Marquez,Darren-Stewart,4.0,1.38,Julian-Marquez,Darren-Stewart vs. Julian-Marquez
977,Chad Laprise vs Galore Bofando,Galore-Bofando,2.35,1.74,Chad-Laprise,Chad-Laprise vs. Galore-Bofando
978,Nordine Taleb vs Danny Roberts,Danny-Roberts,2.45,1.74,Nordine-Taleb,Danny-Roberts vs. Nordine-Taleb
979,Abel Trujillo vs John Makdessi,Abel-Trujillo,1.74,2.7,John-Makdessi,Abel-Trujillo vs. John-Makdessi
980,Alessio Di Chirico vs Oluwale Bamgbose,Oluwale-Bamgbose,2.21,1.87,Alessio-Di-Chirico,Alessio-Di-Chirico vs. Oluwale-Bamgbose
981,Erick Silva vs Jordan Mein,Erick-Silva,2.45,1.77,Jordan-Mein,Erick-Silva vs. Jordan-Mein
982,Cub Swanson vs Brian Ortega,Cub-Swanson,2.05,1.95,Brian-Ortega,Brian-Ortega vs. Cub-Swanson
983,Jason Knight vs Gabriel Benitez,Jason-Knight,1.34,3.75,Gabriel-Benitez,Gabriel-Benitez vs. Jason-Knight
984,Aljamain Sterling vs Marlon Moraes,Aljamain-Sterling,2.36,1.71,Marlon-Moraes,Aljamain-Sterling vs. Marlon-Moraes
985,Scott Holtzman vs Darrell Horcher,Darrell-Horcher,2.31,1.86,Scott-Holtzman,Darrell-Horcher vs. Scott-Holtzman
986,Eryk Anders vs Markus Perez,Markus-Perez,5.0,1.36,Eryk-Anders,Eryk-Anders vs. Markus-Perez
987,Benito Lopez vs Albert Morales,Albert-Morales,2.1,1.83,Benito-Lopez,Albert-Morales vs. Benito-Lopez
988,Liz Carmouche vs Alexis Davis,Liz-Carmouche,1.87,2.5,Alexis-Davis,Alexis-Davis vs. Liz-Carmouche
989,Luke Sanders vs Andre Soukhamthath,Luke-Sanders,1.4,3.95,Andre-Soukhamthath,Andre-Soukhamthath vs. Luke-Sanders
990,Alex Perez vs Carls John de Tomas,Carls-John-de-Tomas,4.48,1.29,Alex-Perez,Alex-Perez vs. Carls-John-de-Tomas
991,Frankie Saenz vs Merab Dvalishvili,Merab-Dvalishvili,1.62,2.7,Frankie-Saenz,Frankie-Saenz vs. Merab-Dvalishvili
992,Yuri Alcantara vs Alejandro Perez,Yuri-Alcantara,1.59,2.7,Alejandro-Perez,Alejandro-Perez vs. Yuri-Alcantara
993,Chris Gruetzemacher vs Davi Ramos,Chris-Gruetzemacher,4.36,1.28,Davi-Ramos,Chris-Gruetzemacher vs. Davi-Ramos
994,Antonio Braga Neto vs Trevin Giles,Antonio-Braga-Neto,3.45,1.41,Trevin-Giles,Antonio-Braga-Neto vs. Trevin-Giles
995,Roxanne Modafferi vs Nicco Montano,Roxanne-Modafferi,2.8,1.51,Nicco-Montano,Nicco-Montano vs. Roxanne-Modafferi
996,Sean O'Malley vs Terrion Ware,Terrion-Ware,3.23,1.42,Sean-O'Malley,"[""Sean-O'Malley"", 'Terrion-Ware"
997,Barb Honchak vs Lauren Murphy,Barb-Honchak,1.52,2.96,Lauren-Murphy,Barb-Honchak vs. Lauren-Murphy
998,Gerald Meerschaert vs Eric Spicely,Eric-Spicely,2.69,1.54,Gerald-Meerschaert,Eric-Spicely vs. Gerald-Meerschaert
999,Joe Soto vs Brett Johns,Joe-Soto,2.67,1.62,Brett-Johns,Brett-Johns vs. Joe-Soto
1000,Montana De La Rosa vs Christina Marks,Christina-Marks,4.09,1.29,Montana-De-La-Rosa,Christina-Marks vs. Montana-De-La-Rosa
1001,Andrew Sanchez vs Ryan Janes,Andrew-Sanchez,1.21,5.44,Ryan-Janes,Andrew-Sanchez vs. Ryan-Janes
1002,Rachael Ostovich vs Karine Gevorgyan,Karine-Gevorgyan,4.09,1.28,Rachael-Ostovich,Karine-Gevorgyan vs. Rachael-Ostovich
1003,Ariel Beck vs Shana Dobson,Ariel-Beck,2.95,1.53,Shana-Dobson,Ariel-Beck vs. Shana-Dobson
1004,Gillian Robertson vs Emily Whitmire,Emily-Whitmire,1.55,2.75,Gillian-Robertson,Emily-Whitmire vs. Gillian-Robertson
1005,Michael Bisping vs Kelvin Gastelum,Michael-Bisping,3.53,1.38,Kelvin-Gastelum,Kelvin-Gastelum vs. Michael-Bisping
1006,Zabit Magomedsharipov vs Sheymon da Silva Moraes,Sheymon-da-Silva-Moraes,5.5,1.22,Zabit-Magomedsharipov,Sheymon-da-Silva-Moraes vs. Zabit-Magomedsharipov
1007,Chase Sherman vs Shamil Abdurakhimov,Chase-Sherman,2.17,1.8,Shamil-Abdurakhimov,Chase-Sherman vs. Shamil-Abdurakhimov
1008,Alex Caceres vs Wang Guan,Alex-Caceres,1.77,2.3,Wang-Guan,Alex-Caceres vs. Wang-Guan
1009,Li Jingliang vs Zak Ottow,Zak-Ottow,2.85,1.54,Li-Jingliang,Li-Jingliang vs. Zak-Ottow
1010,Kailin Curran vs Yan Xiaonan,Kailin-Curran,2.38,1.73,Yan-Xiaonan,Kailin-Curran vs. Yan-Xiaonan
1011,Rolando Dy vs Wuliji Buren,Wuliji-Buren,2.45,1.68,Rolando-Dy,Rolando-Dy vs. Wuliji-Buren
1012,Bobby Nash vs Kenan Song,Bobby-Nash,1.33,3.75,Kenan-Song,Bobby-Nash vs. Kenan-Song
1013,Alex Garcia vs Muslim Salikhov,Muslim-Salikhov,1.49,3.0,Alex-Garcia,Alex-Garcia vs. Muslim-Salikhov
1014,Yadong Song vs Bharat Khandare,Bharat-Khandare,2.4,1.71,Yadong-Song,Bharat-Khandare vs. Yadong-Song
1015,Gina Mazany vs Yanan Wu,Yanan-Wu,2.25,2.25,Gina-Mazany,Gina-Mazany vs. Yanan-Wu
1016,Hu Yaozong vs Cyril Asker,Hu-Yaozong,3.16,1.45,Cyril-Asker,Cyril-Asker vs. Hu-Yaozong
1017,Fabricio Werdum vs Marcin Tybura,Marcin-Tybura,3.85,1.33,Fabricio-Werdum,Fabricio-Werdum vs. Marcin-Tybura
1018,Jessica-Rose Clark vs Bec Rawlings,Bec-Rawlings,1.83,2.3,Jessica-Rose-Clark,Bec-Rawlings vs. Jessica-Rose-Clark
1019,Tim Means vs Belal Muhammad,Tim-Means,1.5,2.85,Belal-Muhammad,Belal-Muhammad vs. Tim-Means
1020,Jake Matthews vs Bojan Velickovic,Bojan-Velickovic,2.25,1.77,Jake-Matthews,Bojan-Velickovic vs. Jake-Matthews
1021,Elias Theodorou vs Daniel Kelly,Daniel-Kelly,3.6,1.41,Elias-Theodorou,Daniel-Kelly vs. Elias-Theodorou
1022,Alex Volkanovski vs Shane Young,Shane-Young,6.4,1.17,Alex-Volkanovski,Alex-Volkanovski vs. Shane-Young
1023,Ryan Benoit vs Ashkan Mokhtarian,Ashkan-Mokhtarian,3.55,1.39,Ryan-Benoit,Ashkan-Mokhtarian vs. Ryan-Benoit
1024,Will Brooks vs Nik Lentz,Will-Brooks,1.24,5.05,Nik-Lentz,Nik-Lentz vs. Will-Brooks
1025,Tai Tuivasa vs Rashad Coulter,Rashad-Coulter,2.6,1.59,Tai-Tuivasa,Rashad-Coulter vs. Tai-Tuivasa
1026,Damien Brown vs Frank Camacho,Damien-Brown,2.2,1.8,Frank-Camacho,Damien-Brown vs. Frank-Camacho
1027,Nadia Kassem vs Alex Chambers,Alex-Chambers,2.65,1.62,Nadia-Kassem,Alex-Chambers vs. Nadia-Kassem
1028,Jenel Lausa vs Eric Shelton,Jenel-Lausa,4.15,1.29,Eric-Shelton,Eric-Shelton vs. Jenel-Lausa
1029,Anthony Hamilton vs Adam Wieczorek,Anthony-Hamilton,2.45,1.65,Adam-Wieczorek,Adam-Wieczorek vs. Anthony-Hamilton
1030,Anthony Pettis vs Dustin Poirier,Anthony-Pettis,1.95,2.06,Dustin-Poirier,Anthony-Pettis vs. Dustin-Poirier
1031,Matt Brown vs Diego Sanchez,Diego-Sanchez,4.15,1.29,Matt-Brown,Diego-Sanchez vs. Matt-Brown
1032,Andrei Arlovski vs Junior Albini,Junior-Albini,1.32,4.17,Andrei-Arlovski,Andrei-Arlovski vs. Junior-Albini
1033,Raphael Assuncao vs Matthew Lopez,Matthew-Lopez,4.15,1.3,Raphael-Assuncao,Matthew-Lopez vs. Raphael-Assuncao
1034,John Dodson vs Marlon Moraes,John-Dodson,1.95,2.05,Marlon-Moraes,John-Dodson vs. Marlon-Moraes
1035,Tatiana Suarez vs Viviane Pereira,Viviane-Pereira,3.6,1.35,Tatiana-Suarez,Tatiana-Suarez vs. Viviane-Pereira
1036,Nate Marquardt vs Cezar Ferreira,Nate-Marquardt,3.5,1.37,Cezar-Ferreira,Cezar-Ferreira vs. Nate-Marquardt
1037,Clay Guida vs Joe Lauzon,Joe-Lauzon,2.1,1.95,Clay-Guida,Clay-Guida vs. Joe-Lauzon
1038,Karl Roberson vs Darren Stewart,Darren-Stewart,2.95,1.49,Karl-Roberson,Darren-Stewart vs. Karl-Roberson
1039,Sage Northcutt vs Michel Quinones,Michel-Quinones,2.6,1.61,Sage-Northcutt,Michel-Quinones vs. Sage-Northcutt
1040,Marcel Fortuna vs Jake Collier,Marcel-Fortuna,1.43,3.2,Jake-Collier,Jake-Collier vs. Marcel-Fortuna
1041,Angela Hill vs Nina Ansaroff,Angela-Hill,1.57,2.7,Nina-Ansaroff,Angela-Hill vs. Nina-Ansaroff
1042,Court McGee vs Sean Strickland,Court-McGee,3.6,1.42,Sean-Strickland,Court-McGee vs. Sean-Strickland
1043,Michael Bisping vs Georges St-Pierre,Michael-Bisping,2.1,2.0,Georges-St-Pierre,Georges-St-Pierre vs. Michael-Bisping
