,f1_odds,f2_odds,fight,f1,f2
2,1.67,2.5,Dustin Ortiz vs Ray Borg,Dustin Ortiz,Ray Borg
2,1.74,2.3,Mirsad Bektic vs Chas Skelly,Mirsad Bektic,Chas Skelly
2,1.34,3.6,Derrick Lewis vs Jack May,Derrick Lewis,Jack May
2,2.85,1.5,Tim Kennedy vs Michael Bisping,Tim Kennedy,Michael Bisping
2,2.85,1.52,Patrick Cote vs Kyle Noke,Patrick Cote,Kyle Noke
2,1.57,2.81,Elias Theodorou vs Sheldon Westcott,Elias Theodorou,Sheldon Westcott
2,2.45,1.67,Chad Laprise vs Olivier Aubin-Mercier,Chad Laprise,Olivier Aubin-Mercier
2,1.1,9.5,Dustin Poirier vs Akira Corassani,Dustin Poirier,Akira Corassani
2,2.04,1.99,K.J. Noons vs Sam Stout,K.J. Noons,Sam Stout
2,1.4,3.45,Sarah Kaufman vs Leslie Smith,Sarah Kaufman,Leslie Smith
2,1.17,7.15,Ryan Jimmo vs Sean O'Connell,Ryan Jimmo,Sean O'Connell
2,1.71,2.51,George Roop vs Dustin Kimura,George Roop,Dustin Kimura
2,1.16,6.7,Mark Bocek vs Mike de la Torre,Mark Bocek,Mike de la Torre
2,1.43,3.18,Nordine Taleb vs Vik Grujic,Nordine Taleb,Vik Grujic
2,1.44,3.17,Richard Walsh vs Chris Indich,Richard Walsh,Chris Indich
2,1.32,3.9,Mitch Gagnon vs Tim Gorman,Mitch Gagnon,Tim Gorman
2,2.55,1.65,Dan Henderson vs Mauricio Rua,Dan Henderson,Mauricio Rua
2,4.58,1.3,C.B. Dollaway vs Cezar Ferreira,C.B. Dollaway,Cezar Ferreira
2,3.95,1.36,Leonardo Santos vs Norman Parke,Leonardo Santos,Norman Parke
2,3.85,1.57,Fabio Maldonado vs Gian Villante,Fabio Maldonado,Gian Villante
2,3.85,1.32,Michel Prazeres vs Mairbek Taisumov,Michel Prazeres,Mairbek Taisumov
2,1.56,2.7,Rony Jason vs Steven Siler,Rony Jason,Steven Siler
2,7.6,1.13,Thiago Santos vs Ronny Markes,Thiago Santos,Ronny Markes
2,2.75,1.54,Jussier Formiga vs Scott Jorgensen,Jussier Formiga,Scott Jorgensen
2,2.27,1.77,Kenny Robertson vs Thiago de Oliveira Perpetuo,Kenny Robertson,Thiago de Oliveira Perpetuo
2,2.27,1.77,Hans Stringer vs Francimar Barroso,Hans Stringer,Francimar Barroso
2,3.85,1.36,Godofredo Pepey vs Noad Lahat,Godofredo Pepey,Noad Lahat
2,1.5,3.0,Lyoto Machida vs Gegard Mousasi,Lyoto Machida,Gegard Mousasi
2,1.21,5.5,Ronaldo Souza vs Francis Carmont,Ronaldo Souza,Francis Carmont
2,1.09,10.01,Erick Silva vs Takenori Sato,Erick Silva,Takenori Sato
2,2.31,1.74,Nico Musoke vs Viscardi Andrade,Nico Musoke,Viscardi Andrade
2,1.14,7.38,Charles Oliveira vs Andy Ogle,Charles Oliveira,Andy Ogle
2,1.43,3.3,Joe Proctor vs Cristiano Marcello,Joe Proctor,Cristiano Marcello
2,2.55,1.68,Rodrigo Damm vs Ivan Jorge,Rodrigo Damm,Ivan Jorge
2,1.65,2.55,Francisco Trinaldo vs Jesse Ronson,Francisco Trinaldo,Jesse Ronson
2,1.48,3.2,Yuri Alcantara vs Wilson Reis,Yuri Alcantara,Wilson Reis
2,2.0,2.2,Felipe Arantes vs Maximo Blanco,Felipe Arantes,Maximo Blanco
2,3.05,1.48,Ildemar Alcantara vs Albert Tumenov,Ildemar Alcantara,Albert Tumenov
2,1.95,2.04,Zubaira Tukhugov vs Douglas Silva de Andrade,Zubaira Tukhugov,Douglas Silva de Andrade
2,1.3,4.05,Renan Barao vs Urijah Faber,Renan Barao,Urijah Faber
2,1.15,7.01,Jose Aldo vs Ricardo Lamas,Jose Aldo,Ricardo Lamas
2,1.26,4.75,Alistair Overeem vs Frank Mir,Alistair Overeem,Frank Mir
2,1.69,2.44,Ali Bagautinov vs John Lineker,Ali Bagautinov,John Lineker
2,2.1,1.87,Abel Trujillo vs Jamie Varner,Abel Trujillo,Jamie Varner
2,2.4,1.8,Alan Patrick vs John Makdessi,Alan Patrick,John Makdessi
2,1.61,2.71,Chris Cariaso vs Danny Martinez,Chris Cariaso,Danny Martinez
2,2.6,1.83,Nick Catone vs Tom Watson,Nick Catone,Tom Watson
2,1.67,3.1,Al Iaquinta vs Kevin Lee,Al Iaquinta,Kevin Lee
2,1.57,2.9,Clint Hester vs Andy Enz,Clint Hester,Andy Enz
2,1.71,3.2,Rashid Magomedov vs Tony Martin,Rashid Magomedov,Tony Martin
2,2.65,1.69,Neil Magny vs Gasan Umalatov,Neil Magny,Gasan Umalatov
2,1.36,3.8,Benson Henderson vs Josh Thomson,Benson Henderson,Josh Thomson
2,1.4,3.6,Stipe Miocic vs Gabriel Gonzaga,Stipe Miocic,Gabriel Gonzaga
2,1.59,2.62,Donald Cerrone vs Adriano Martins,Donald Cerrone,Adriano Martins
2,1.88,2.15,Jeremy Stephens vs Darren Elkins,Jeremy Stephens,Darren Elkins
2,2.9,1.54,Alex Caceres vs Sergio Pettis,Alex Caceres,Sergio Pettis
