,Fighter,W_L_FIGHTERS,KD_Win,KD_lose,Sig_str_land_win,Sig_str_att_win,Sig_str_land_lose,Sig_str_att_lose,Sig_str_%_win,Sig_str_%_lose,Tot_str_land_win,Tot_str_att_win,Tot_str_land_lose,Tot_str_att_lose,Td_land_win,Td_att_win,Td_land_lose,Td_att_lose,Td_%_win,Td_%_lose,Sub_att_win,Sub_att_lose,Pass_win,Pass_lose,Rev_win,Rev_lose,Head_land_win,Head_att_win,Head_land_lose,Head_att_lose,Body_land_win,Body_att_win,Body_land_lose,Body_att_lose,Leg_land_win,Leg_att_win,Leg_land_lose,Leg_att_lose,Dist_land_win,Dist_att_win,Dist_land_lose,Dist_att_lose,Clinch_land_win,Clinch_att_win,Clinch_land_lose,Clinch_att_lose,Ground_land_win,Ground_att_win,Ground_land_lose,Ground_att_lose
1554,FabricioWerdumTravisBrowne,FabricioWerdumTravisBrowne,1, 0,84,142,37,143,59%, 25%,107,166,38,144,0,3,0,0,0%, 0%,1, 0,1, 0,0, 0,41,91,27,123,24,32,4,11,19,19,6,9,66,123,35,140,10,10,2,2,8,9,0,1
1555,CMPunkMickeyGall,MickeyGallCMPunk, 0,0,20,32,0,1, 62%,0%,26,39,6,8,1,1,0,0, 100%,0%, 2,0, 3,0, 0,0,20,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,32,0,0
1556,UrijahFaberJimmieRivera,JimmieRiveraUrijahFaber, 0,0,54,160,22,112, 33%,19%,55,162,23,113,0,0,0,4, 0%,0%, 0,0, 0,0, 0,0,21,113,11,94,9,20,5,9,24,27,6,9,50,154,19,109,4,6,3,3,0,0,0,0
1557,JessicaAndradeJoanneCalderwood,JessicaAndradeJoanneCalderwood,0, 0,20,28,13,26,71%, 50%,44,58,23,36,2,3,0,0,66%, 0%,1, 0,3, 0,0, 0,10,18,3,16,10,10,4,4,0,0,6,6,2,3,8,19,6,6,4,5,12,19,1,2
1558,JessicaEyeBetheCorreia,BetheCorreiaJessicaEye, 0,0,49,150,52,199, 32%,26%,69,170,63,210,0,3,0,0, 0%,0%, 0,0, 0,0, 0,0,32,119,29,164,4,9,8,16,13,22,15,19,44,144,47,191,5,6,5,8,0,0,0,0
1559,BradTavaresCaioMagalhaes,BradTavaresCaioMagalhaes,0, 0,46,100,26,81,46%, 32%,58,112,39,95,0,0,1,7,0%, 14%,0, 1,0, 0,0, 0,21,65,12,52,9,16,10,20,16,19,4,9,30,79,20,72,15,20,6,9,1,1,0,0
1560,NikLentzMichaelMcBride,NikLentzMichaelMcBride,0, 0,38,50,16,31,76%, 51%,80,97,42,65,5,6,0,1,83%, 0%,1, 0,8, 1,0, 0,32,43,10,22,5,5,1,3,1,2,5,6,10,19,14,27,2,2,0,1,26,29,2,3
1561,DrewDoberJasonGonzalez,DrewDoberJasonGonzalez,1, 0,20,41,10,30,48%, 33%,23,45,10,30,0,1,0,0,0%, 0%,0, 0,0, 0,0, 0,14,34,6,25,2,3,1,1,4,4,3,4,15,29,9,29,4,10,1,1,1,2,0,0
1562,YancyMedeirosSeanSpencer,YancyMedeirosSeanSpencer,2, 0,17,57,17,89,29%, 19%,17,57,18,90,0,0,0,0,0%, 0%,1, 0,2, 0,0, 0,10,46,6,65,3,7,5,13,4,4,6,11,17,54,16,88,0,2,1,1,0,1,0,0
1563,AndreiArlovskiJoshBarnett,JoshBarnettAndreiArlovski, 0,0,53,82,38,62, 64%,61%,112,150,51,77,1,2,1,2, 50%,50%, 1,0, 6,1, 1,0,40,66,22,46,12,15,11,11,1,1,5,5,13,30,19,39,15,21,16,20,25,31,3,3
